"Time","Area","Mean_Radius","Intensity_KTR_Cyan","Intensity_KTR_Green","Math_RatioCyan","Math_RatioGreen","Object_Label","Time_in_min"
2,159,1.3572,0.0161,0.0348,0.3464,0.6196,179,4.5
2,123,1.2713,0.0144,0.0325,0.4096,0.7888,174,4.5
2,221,1.4252,0.0163,0.0307,0.4276,0.8256,181,4.5
2,194,1.4183,0.0158,0.0277,0.388,0.6159,183,4.5
2,206,1.4467,0.0237,0.0365,0.6644,1.1356,184,4.5
2,261,1.5075,0.0152,0.0312,0.4177,0.8203,187,4.5
2,163,1.3633,0.0278,0.029,0.5645,0.574,191,4.5
2,122,1.5285,0.0124,0.0327,0.4145,1.1898,192,4.5
2,236,1.4684,0.0227,0.0362,0.6122,1.0254,194,4.5
2,124,1.4461,0.0174,0.0339,0.506,1.1359,197,4.5
2,146,1.3204,0.0206,0.0246,0.7239,0.8619,199,4.5
2,212,1.4554,0.0173,0.0308,0.4635,0.8735,203,4.5
2,194,1.4254,0.0201,0.0384,0.4069,0.6911,212,4.5
2,121,1.5676,0.0149,0.029,0.5321,1.5439,227,4.5
2,230,1.4403,0.0203,0.0355,0.4984,0.8505,233,4.5
2,137,1.3546,0.0166,0.0276,0.5615,0.6907,234,4.5
2,158,1.3539,0.0174,0.0303,0.4209,0.5713,243,4.5
2,108,1.4062,0.0186,0.0379,0.647,1.0108,255,4.5
2,158,1.3917,0.0148,0.0326,0.4151,0.7538,256,4.5
2,129,1.4241,0.0147,0.0282,0.4575,0.827,260,4.5
2,175,1.4022,0.0268,0.0365,0.5703,0.8936,263,4.5
2,215,1.5066,0.0187,0.0309,0.6479,0.8925,269,4.5
2,169,1.3814,0.0168,0.0314,0.4515,0.9491,267,4.5
2,119,1.4405,0.0158,0.0256,0.4421,1.0942,271,4.5
2,130,1.333,0.0261,0.0306,0.6352,0.6511,288,4.5
2,113,1.3644,0.0128,0.0246,0.4809,0.9482,292,4.5
2,177,1.3778,0.0199,0.0344,0.4181,0.7944,295,4.5
2,162,1.5332,0.012,0.0262,0.4948,0.9039,299,4.5
2,120,1.381,0.0118,0.0268,0.4621,0.8966,307,4.5
2,157,1.3984,0.017,0.0337,0.398,0.7058,309,4.5
2,248,1.4586,0.0221,0.0427,0.4682,0.8581,308,4.5
2,137,1.3784,0.0126,0.0256,0.4695,1.0254,301,4.5
2,145,1.3933,0.0181,0.0271,0.5419,0.8075,314,4.5
2,150,1.3789,0.0163,0.0308,0.3423,0.6281,319,4.5
2,212,1.3824,0.0242,0.0323,0.5051,0.6626,322,4.5
2,112,1.3855,0.0169,0.037,0.4819,0.9322,326,4.5
2,261,1.4722,0.0171,0.0263,0.4176,0.6812,328,4.5
2,162,1.4076,0.0268,0.0422,0.5226,0.8162,329,4.5
2,196,1.446,0.0296,0.034,0.6281,1.0202,334,4.5
2,163,1.4951,0.022,0.0346,0.7008,1.2271,336,4.5
2,127,1.4032,0.027,0.039,0.6185,1.0135,339,4.5
2,120,1.4796,0.0172,0.0334,0.5917,1.0917,343,4.5
2,133,1.2884,0.0122,0.0291,0.4876,0.8785,342,4.5
2,216,1.4002,0.021,0.0292,0.4389,0.5597,340,4.5
2,124,1.4736,0.0147,0.031,0.5403,1.2776,355,4.5
2,218,1.3843,0.0185,0.0332,0.4919,0.9973,358,4.5
2,195,1.4367,0.0163,0.0373,0.4526,1.0809,356,4.5
2,213,1.4404,0.0192,0.0315,0.4268,0.756,359,4.5
2,144,1.4029,0.0127,0.027,0.4237,0.9122,362,4.5
2,183,1.3584,0.0193,0.0346,0.4562,0.8042,365,4.5
2,255,1.4521,0.0196,0.0397,0.4137,0.7757,366,4.5
2,213,1.3554,0.0256,0.0354,0.4593,0.6466,369,4.5
2,126,1.3086,0.0142,0.0268,0.3595,0.5785,370,4.5
2,177,1.3019,0.019,0.0299,0.5024,0.782,375,4.5
2,126,1.3992,0.0126,0.0245,0.4058,0.7346,379,4.5
2,252,1.4644,0.021,0.037,0.394,0.7067,382,4.5
2,179,1.3158,0.0176,0.0273,0.4738,0.7597,381,4.5
2,148,1.295,0.0222,0.0388,0.537,0.875,383,4.5
2,140,1.4465,0.0156,0.0288,0.5654,0.7843,392,4.5
